1,1,None
2,2,None
3,3,None
4,4,14.0
5,5,14.0
6,6,14.0
7,7,14.0
8,8,14.0
9,9,14.0
10,10,14.0
11,11,14.0
12,12,14.0
13,13,14.0
14,14,14.0
15,15,14.0
16,16,14.0
17,17,14.0
18,18,14.0
19,19,14.0
20,20,14.0
21,21,14.0
22,22,14.0
23,23,14.0
24,24,14.0
25,25,14.0
26,26,None
27,27,14.0
28,28,14.0
29,29,14.0
30,30,14.0
31,31,14.0
32,32,14.0
33,33,14.0
34,34,14.0
35,35,14.0
36,36,14.0
37,37,14.0
38,38,14.0
39,39,14.0
40,40,14.0
41,41,14.0
42,42,14.0
43,43,14.0
44,44,14.0
45,45,14.0
46,46,14.0
47,47,14.0
48,48,14.0
49,49,14.0
50,50,14.0
51,51,14.0
52,52,14.0
53,53,14.0
54,54,14.0
55,55,14.0
56,56,14.0
57,57,14.0
58,58,14.0
59,59,14.0
60,60,14.0
61,61,14.0
62,62,14.0
63,63,14.0
64,64,14.0
65,65,14.0
66,66,14.0
67,67,14.0
68,68,14.0
69,69,14.0
70,70,14.0
71,71,14.0
72,72,14.0
73,73,14.0
74,74,14.0
75,75,14.0
76,76,14.0
77,77,14.0
78,78,14.0
79,79,14.0
80,80,14.0
81,81,14.0
82,82,14.0
83,83,14.0
84,84,14.0
85,85,14.0
86,86,14.0
87,87,None
88,88,14.0
89,89,14.0
90,90,14.0
91,91,14.0
92,92,14.0
93,93,14.0
94,94,14.0
95,95,14.0
96,96,14.0
97,97,14.0
98,98,14.0
99,99,14.0
100,100,14.0
101,101,14.0
102,102,14.0
103,103,14.0
104,104,14.0
105,105,14.0
106,106,14.0
107,107,14.0
108,108,14.0
109,109,14.0
110,110,14.0
111,111,14.0
112,112,14.0
113,113,14.0
114,114,14.0
115,115,14.0
116,116,14.0
117,117,14.0
118,118,14.0
119,119,14.0
120,120,14.0
121,121,14.0
122,122,14.0
123,123,14.0
124,124,14.0
125,125,14.0
126,126,14.0
127,127,14.0
128,128,14.0
129,129,14.0
130,130,14.0
131,131,14.0
132,132,14.0
133,133,14.0
134,134,14.0
135,135,14.0
136,136,14.0
137,137,14.0
138,138,14.0
139,139,14.0
140,140,14.0
141,141,14.0
142,142,14.0
143,143,14.0
144,144,None
145,145,14.0
146,146,14.0
147,147,14.0
148,148,14.0
149,149,14.0
150,150,14.0
151,151,14.0
152,152,14.0
153,153,14.0
154,154,14.0
155,155,14.0
156,156,14.0
157,157,14.0
158,158,14.0
159,159,14.0
160,160,14.0
161,161,14.0
162,162,14.0
163,163,14.0
164,164,14.0
165,165,14.0
166,166,14.0
167,167,14.0
168,168,14.0
169,169,14.0
170,170,14.0
171,171,14.0
172,172,14.0
173,173,14.0
174,174,14.0
175,175,14.0
176,176,14.0
177,177,14.0
178,178,14.0
179,179,None
180,180,14.0
181,181,14.0
182,182,14.0
183,183,14.0
184,184,14.0
185,185,1.0
186,186,14.0
187,187,14.0
188,188,14.0
189,189,14.0
190,190,14.0
191,191,14.0
192,192,14.0
193,193,14.0
194,194,14.0
195,195,None
